TRANS_DATE,TRANS_CODE,TRANS_SHARES
2008-04-22,S,100.0
2008-04-22,M,6000.0
2008-04-22,S,6000.0
2008-04-22,S,35.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,55.0
2008-04-22,S,45.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,65.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-04-22,S,100.0
2008-05-20,S,666.0
2008-05-20,M,666.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,200.0
2008-05-20,S,100.0
2008-05-20,S,300.0
2008-05-20,S,100.0
2008-05-20,S,82.0
2008-05-20,S,18.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,200.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,200.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,50.0
2008-05-20,S,50.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,200.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,100.0
2008-05-20,S,300.0
2008-05-20,S,100.0
2008-05-19,S,4000.0
2008-05-16,A,1000.0
2008-05-16,A,1000.0
2008-05-16,A,1000.0
2008-05-16,A,1000.0
