TRANS_DATE,TRANS_CODE,TRANS_SHARES
2018-11-19,G,36500.0
2018-11-19,G,36500.0
2018-11-19,G,36500.0
2018-11-19,G,36500.0
2018-11-15,M,26847.0
2018-11-15,M,26847.0
2018-11-15,F,13311.0
2018-11-15,M,10022.0
2018-11-15,F,4969.0
2018-11-15,M,8254.0
2018-11-15,F,4093.0
2018-11-15,F,16918.0
2018-11-15,C,34122.0
2018-11-15,F,778.0
2018-11-15,M,1569.0
2018-11-19,S,2112.0
2018-11-15,M,681.0
2018-11-15,F,338.0
2018-11-15,F,9316.0
2018-11-15,M,15035.0
2018-11-15,F,7455.0
2018-11-15,C,18789.0
2018-11-15,F,3231.0
2018-11-15,M,6191.0
2018-11-15,F,3070.0
2018-11-15,M,6515.0
2018-11-15,F,1639.0
2018-11-15,M,8018.0
2018-11-15,F,3905.0
2018-11-15,M,4953.0
2018-11-15,F,2400.0
2018-11-15,M,5059.0
2018-11-15,F,2431.0
2018-11-15,M,4713.0
2018-11-15,F,2256.0
2018-11-15,M,3424.0
2018-11-15,F,4674.0
2018-11-16,S,4761.0
2018-11-15,M,9426.0
2018-11-15,F,4182.0
2018-11-15,M,8433.0
2018-11-15,F,4911.0
2018-11-15,M,9905.0
2018-11-15,M,10022.0
2018-11-15,F,4969.0
2018-10-15,F,7432.0
2018-10-15,C,14988.0
2018-10-15,S,1600.0
2018-10-15,S,3700.0
2018-11-15,M,16509.0
2018-11-15,F,8186.0
2018-11-01,G,334300.0
2018-11-14,C,55000.0
2018-11-14,S,11178.0
2018-11-15,F,6461.0
2018-11-14,S,16854.0
2018-11-14,S,3934.0
2018-11-15,M,34365.0
2018-11-15,F,17039.0
2018-11-15,M,13030.0
2018-11-14,S,23034.0
2018-11-02,G,15439.0
2018-11-02,G,15439.0
2018-11-02,G,15439.0
2018-11-13,S,4999.0
2018-11-13,C,66256.0
2018-11-13,S,20457.0
2018-11-13,S,12708.0
2018-11-02,G,15439.0
2018-07-17,S,10000.0
2018-08-16,S,9522.0
2018-10-10,S,750.0
2018-10-10,S,6986.0
2018-10-10,C,55000.0
2018-10-10,S,2642.0
2018-10-10,S,2400.0
2018-10-10,S,8211.0
2018-10-10,S,23921.0
2018-10-10,S,10840.0
2018-12-10,S,12675.0
2018-12-10,S,20454.0
2018-12-10,S,12481.0
2018-12-10,S,9390.0
2018-12-10,C,55000.0
2018-12-10,S,2112.0
2018-10-09,C,66256.0
2018-10-09,S,19205.0
2018-10-09,S,13760.0
2018-10-09,S,5140.0
2018-11-08,G,1444500.0
2018-11-08,C,1444500.0
2018-11-05,G,9945.0
2018-11-07,S,750.0
2018-11-06,S,2000.0
2018-11-05,S,3300.0
2018-11-01,S,1560.0
2018-10-01,S,3125.0
2018-10-03,S,750.0
2022-09-27,S,342.0
2022-07-26,S,342.0
2022-08-23,S,342.0
2022-09-20,S,342.0
2022-07-19,S,342.0
2022-08-15,F,25359.0
2022-08-15,M,5998.0
2022-08-15,M,4721.0
2022-08-15,M,5470.0
2022-08-15,M,11243.0
2022-08-15,M,7434.0
2022-08-15,M,6848.0
2022-08-15,M,9426.0
2022-08-15,M,17317.0
2022-08-15,M,4721.0
2022-08-15,F,13640.0
2022-08-15,M,5470.0
2022-08-15,M,889.0
2022-08-16,S,1421.0
2022-08-15,M,767.0
2022-08-15,M,1125.0
2022-08-15,M,929.0
2022-08-15,F,1841.0
2022-08-15,F,1157.0
2022-08-15,M,5998.0
2022-08-15,M,4720.0
2022-08-15,M,5470.0
2022-08-15,F,15110.0
2022-08-15,C,2463.0
2022-08-15,S,1222.0
2022-08-15,M,675.0
2022-08-15,M,767.0
2022-08-15,M,6848.0
2022-08-15,M,7434.0
2022-08-15,M,889.0
2022-08-15,C,3717.0
2022-08-15,F,2034.0
2022-08-15,M,4102.0
2022-08-15,S,10253.0
2022-08-15,C,2951.0
2022-08-15,C,2999.0
2022-08-15,C,1712.0
2022-08-15,C,2357.0
2022-08-15,C,2811.0
2022-08-15,C,4127.0
2022-08-15,S,11714.0
2022-08-15,C,4721.0
2022-08-15,C,5470.0
2022-08-15,C,7434.0
2022-08-15,C,5998.0
2022-08-15,M,301.0
2022-08-15,M,301.0
2022-08-15,C,8198.0
2022-08-16,S,4459.0
2022-08-16,S,6482.0
2022-08-15,C,2190.0
2022-08-15,C,2361.0
2022-08-15,S,6029.0
2022-08-15,F,1950.0
2022-08-15,M,4103.0
2022-08-15,M,301.0
2022-08-15,M,2950.0
