TRANS_DATE,TRANS_CODE,TRANS_SHARES
2020-11-02,S,5291.0
2020-11-02,S,6583.0
2020-11-02,S,5073.0
2020-11-02,S,5347.0
2020-11-02,S,2945.0
2020-11-02,S,5016.0
2020-11-02,S,3148.0
2020-11-02,S,10842.0
2020-11-02,S,11946.0
2020-11-02,S,1200.0
2020-11-02,S,1720.0
2020-11-02,S,2100.0
2020-11-02,S,2736.0
2020-11-02,S,4282.0
2020-11-02,S,4212.0
2020-11-02,S,466.0
2020-11-02,S,4534.0
2020-11-02,S,3068.0
2020-11-02,S,3100.0
2020-11-02,S,2229.0
2020-11-02,S,2924.0
2020-11-02,S,5365.0
2020-11-02,S,7740.0
2020-11-02,S,4808.0
2020-11-02,S,13810.0
2020-11-02,S,7462.0
2020-11-02,S,5818.0
2020-11-02,S,3993.0
2020-11-02,S,5255.0
2020-11-02,S,5459.0
2020-11-02,S,4820.0
2020-11-02,S,7124.0
2020-11-02,S,2881.0
2020-11-02,S,7111.0
2020-11-02,S,8334.0
2020-11-02,S,8279.0
2020-11-02,S,11768.0
2020-11-02,S,7630.0
2020-11-02,S,12411.0
2020-11-02,S,9649.0
2020-11-02,S,9346.0
2020-11-02,S,8651.0
2020-11-02,S,13986.0
2020-11-02,S,11458.0
2020-11-02,S,13343.0
2020-11-02,S,12060.0
2020-11-02,S,7064.0
2020-11-02,S,8240.0
2020-11-02,S,9268.0
2020-11-02,S,4462.0
2020-11-02,S,2984.0
2020-11-02,S,6553.0
2020-11-02,S,6033.0
2020-11-02,S,1644.0
2020-11-02,S,3200.0
2020-11-02,S,1957.0
2020-11-02,S,900.0
2020-11-02,S,400.0
2020-11-03,S,8404.0
2020-11-03,S,3443.0
2020-11-03,S,7121.0
2020-11-03,S,6903.0
2020-11-03,S,4441.0
2020-11-03,S,915.0
2020-11-03,S,2934.0
2020-11-03,S,7346.0
2020-11-03,S,1300.0
2020-11-03,S,880.0
2020-11-03,S,1120.0
2020-11-03,S,700.0
2020-11-03,S,1315.0
2020-11-02,S,7102.0
2020-11-02,S,1700.0
2020-11-02,S,5500.0
2020-11-02,S,1603.0
2020-11-02,S,2809.0
2020-11-02,S,12487.0
