ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001209191-22-047809	2312678	Employee Stock Option (right to buy)		20.87		25-AUG-2022				4	M	0				4695.0				0.0		D		01-APR-2021	F5	01-APR-2030		Common Stock		4695.0				4695.0				D			
0000794367-22-000059	2312636	Restricted Stock Units			F1	25-AUG-2022				4	A	0				4197.0				0.0		A			F2		F2	Common Stock		4197.0				4197.0				D			
0001225208-22-009818	2312728	Barings Non-Qualified Thrift Plan			F1	25-AUG-2022				4	J	0	F2			28.14				14.35		A			F1		F1	"Common Shares (""Shares of Beneficial Interest"")"		28.14				1311.57				D			
0001225208-22-009817	2312717	MassMutual Non-Qualified Thrift Plan			F1	25-AUG-2022				4	J	0	F2			35.38				14.35		A			F1		F1	"Common Shares (""Shares of Beneficial Interest"")"		35.38				4456.73				D			
0001225208-22-009815	2312561	MassMutual Non-Qualified Thrift Plan			F1	25-AUG-2022				4	J	0	F2			50.52				14.35		A			F1		F1	"Common Shares (""Shares of Beneficial Interest"")"		50.52				12622.07				D			
0000100885-22-000208	2312551	Non-Qualified Stock Option (right to buy)	F2	124.86		26-AUG-2022				4	M	0				10602.0				0.0		D		08-FEB-2019	F2	08-FEB-2028		Common Stock		10602.0				0.0				D			
0001209191-22-047788	2312691	Restricted Stock Equivalent 1/4/2022		0.0		26-AUG-2022				4	J	0				3473.0				0.0		D			F1		F1	Common Stock		3473.0				0.0				D			
0001437749-22-021416	2312690	Stock Appreciation Rights (SAR)		53.16		25-AUG-2022				4	M	0				1621.0				0.0		D		07-NOV-2019		07-NOV-2024		Common Stock		1621.0				0.0				D			
0000899243-22-029940	2312519	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0000899243-22-029939	2312548	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0000899243-22-029938	2312577	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0000899243-22-029937	2312573	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0000899243-22-029936	2312607	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0000899243-22-029935	2312563	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0001567619-22-016737	2312732	Stock Option (Right to Buy)		6.73		24-AUG-2022				4	M	0				10000.0				0.0		D			F3	31-MAR-2023		Ordinary Shares		10000.0				70000.0	F4			D			
0000899243-22-029899	2312506	Director Stock Option - Option to buy		0.31		24-AUG-2022				4	A	0				88000.0				0.0		A			F1	23-AUG-2032		Common Stock		88000.0				88000.0				D			
0001209191-22-047773	2312491	Performance Rights			F1	06-MAY-2022				4	M	0				28800.0					F1	D			F1	01-MAY-2023		Common Stock		28800.0				0.0				D			
0001209191-22-047771	2312556	Performance Rights			F4	02-MAY-2022				4	A	0				125500.0				0.0		A			F4	02-MAY-2025		Common Stock		125500.0				125500.0				D			
0001562180-22-006341	2312610	Stock Option		6.46		25-AUG-2022				4	M	false				4956.0				0.0		D			F2	27-DEC-2022		Common Stock		4956.0				29666.0	F3			D			
0001656472-22-000128	2312544	COMMON SHARE OPTION (right to buy)		2.42	F1	22-AUG-2022				4	M	0				62500.0				0.0		D			F2	24-AUG-2022		COMMON SHARES		62500.0				0.0				D			
0001562401-22-000100	2312701	Employee Stock Option (Right to Buy)		15.0		26-AUG-2022				4	M	0				10000.0				0.0		D		29-NOV-2013	F2	29-NOV-2022		Class A Common Shares		10000.0				0.0				D			
0001104659-22-095277	2312587	Restricted Stock Units			F3	24-AUG-2022				4	M	0				43729.0				0.0		D			F4		F7	Class A Common Stock		43729.0				2487313.0				D			
0001104659-22-095275	2312727	Restricted Stock Units			F1	24-AUG-2022				4	M	0				196.0				0.0		D			F2		F2	Class A Common Stock		196.0				2149.0				D			
0001318568-22-000190	2312670	Restricted Stock Units			F1	26-AUG-2022				4	M	0				5773.0				0.0		D			F3		F3	Common Stock		5773.0				51969.0				D			
0001225208-22-009814	2312674	Stock Option (Right to Buy)		98.31		26-AUG-2022				4	M	0				36780.0				98.31		D		11-FEB-2020		11-FEB-2029		Common Stock		36780.0				36780.0				D			
0001225208-22-009814	2312675	Stock Option (Right to Buy)		93.88		26-AUG-2022				4	M	0				35817.0				93.88		D		12-FEB-2019		12-FEB-2028		Common Stock		35817.0				0.0				D			
0001782170-22-000138	2312654	Restricted Stock Units (RSUs)			F1	25-AUG-2022				4	M	0				10109.0				0.0		D			F5		F5	Common Stock		10109.0				242227.0				D			
0001209191-22-047761	2312650	Restricted Stock Unit			F1	24-AUG-2022				4	M	0				7997.0				0.0		D			F3		F3	Class A Common Stock		7997.0				87967.0				D			
0001209191-22-047760	2312511	Stock Option (Right to Buy)		1.24		24-AUG-2022				4	M	0	F1			35045.0				0.0		D			F4	17-DEC-2029		Common Stock		35045.0				1161870.0				D			
0001209191-22-047760	2312512	Stock Option (Right to Buy)		1.24		25-AUG-2022				4	M	0	F1			14855.0				0.0		D			F4	17-DEC-2029		Common Stock		14855.0				1147015.0				D			
0001415889-22-009131	2312645	Stock Option (Right to Buy)		15.01		24-AUG-2022				4	M	0	F1			5000.0				0.0		D			F3	03-FEB-2026		Common Stock		5000.0				40836.0				D			
0001737521-22-000012	2312729	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				1176.0	F1			0.0		D			F4	28-MAR-2029		Class A Common Stock		1176.0	F1			4706.0	F1			D			
0001737521-22-000012	2312730	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				2788.0	F1			0.0		D			F5	19-MAR-2030		Class A Common Stock		2788.0	F1			22308.0	F1			D			
0001737521-22-000012	2312731	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				4956.0	F1			0.0		D			F6	19-MAR-2031		Class A Common Stock		4956.0	F1			14868.0	F1			D			
0001366561-22-000123	2312615	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				3703.0	F1			0.0		D			F5	28-MAR-2029		Class A Common Stock		3703.0	F1			14812.0	F1			D			
0001366561-22-000123	2312616	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				5531.0	F1			0.0		D			F6	19-MAR-2030		Class A Common Stock		5531.0	F1			44243.0	F1			D			
0001366561-22-000123	2312617	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				17346.0	F1			0.0		D			F7	19-MAR-2031		Class A Common Stock		17346.0	F1			52039.0	F1			D			
0001770459-22-000004	2312562	Restricted Stock Units (RSU) (Class A)			F2	15-FEB-2022				4	M	0				5404.0	F1			0.0		D			F4	28-MAR-2029		Class A Common Stock		5404.0	F1			21620.0	F1			D			
0001209191-22-047756	2312507	Restricted Stock Units			F1	24-AUG-2022				4	M	0				2000.0				0.0		D			F3	17-APR-2030		Common Stock		2000.0				0.0				I		By spouse	
0001104659-22-095261	2312567	Series B-1 common stock			F1	24-AUG-2022				4	C	0	F1			1279000.0	F1, F5			0.0	F1	D			F1	22-JUL-2032		Class A common stock		1279000.0				0.0				I		By CC Neuberger Principal Holdings II Sponsor LLC	F3
0001104659-22-095261	2312568	Series B-2 common stock			F4	25-AUG-2022				4	C	0	F4			1279000.0	F4, F5			0.0	F4	D			F4	22-JUL-2032		Class A common stock		1279000.0				0.0				I		By CC Neuberger Principal Holdings II Sponsor LLC	F3
0001104659-22-095260	2312513	Series B-1 common stock			F1	24-AUG-2022				4	C	0	F1			4000.0	F1, F4			0.0	F1	D			F1	22-JUL-2032		Class A common stock		4000.0				0.0				D			
0001104659-22-095260	2312514	Series B-2 common stock			F3	25-AUG-2022				4	C	0	F3			4000.0	F3, F4			0.0	F3	D			F3	22-JUL-2032		Class A common stock		4000.0				0.0				D			
